text,bio,created_at,tweet_id,location,user_name,user_screen_name,source,retweet_count,like_count,reply_count
"RT @johnnys: #NaniwaDanshi's Double A-Side 2nd Single
#TheAnswer / #サチアレ - OUT NOW!

♪ Click the link below to stream the theme song to #Th…",大吾くんの進む道の先を共に見たい,2022-04-27T01:01:34+00:00,1519119529498058752,大ちゃんの過ごす日々が幸せでありますように,はるた,BigLove_Daigo,Twitter for iPhone,4499,0,0
RT @stephensemler: The amount Elon Musk just paid for Twitter ($44 billion) is nearly equal to Biden’s proposed climate budget ($44.9 billi…,,2022-04-27T01:01:34+00:00,1519119529615446016,,manda,Amanda_ilyssa,Twitter for iPhone,10639,0,0
"1️⃣ Elon 🌐
      💬3.298m
2️⃣ Elon Musk 🌐
      💬2.626m
3️⃣ suga 🌐
      💬1.16m
4️⃣ Trump 🌐
      💬0.942m
5️⃣ Madrid 🌐
      💬0.888m",Follow what's popular on @Twitter worldwide!,2022-04-27T01:01:34+00:00,1519119529439281156,,Popular Topics,5TopTopics,5TopTopics,0,0,0
"RT @ElysiumMetagods: Elysium x Skyverse 🤝 

We are giving away:
3x @SkyVerseNFT Reserve list 
3x @ElysiumMetagods  mint phase II

⚔️  Follo…",I already want to take a nap tomorrow.,2022-04-27T01:01:34+00:00,1519119529535803392,Moreno Valley,Monica Storm,MonicaStorm14,Twitter Web App,1822,0,0
RT @shxx131bi131: see you soon😉🤚 https://t.co/6VyZrCxaFO,ia,2022-04-27T01:01:34+00:00,1519119529493684224,,m.ka,8thstar_,Twitter for Android,23939,0,0
"RT @TaehyungCanada: Taehyung’s characters are so cute!!! 
Surprised they didn’t add one with bear ears, tiger paws and Taechwita. 

credit:…",I love you Taehyung 💜 Fan account The world is a better place with better people,2022-04-27T01:01:34+00:00,1519119529510637568,,CHRISTMAS TREE BY V - KTH1 💜,vtae830,Twitter for Android,57,0,0
RT @ryinvegas: I swear Elon bought twitter just to delete this tweet,♡ —𝘵𝘰𝘰 𝘨𝘰𝘰𝘥 𝘵𝘰 𝘣𝘦 𝘵𝘳𝘶𝘦,2022-04-27T01:01:34+00:00,1519119529409871873,,liz,lizalexiaa,Twitter for iPhone,55348,0,0
"RT @HiRajaTamil: Want to master Google Maps API with Vue.js?
✅  Enroll Now  (Up to 86% OFF) → https://t.co/eGfmOcyuBh
USE COUPON CODE: SA-A…","Promotes new developers to get support and love from the community. Anything unrelated should be blocked, let me know @shahidcodes 
#100DaysOfCode",2022-04-27T01:01:34+00:00,1519119529703784448,Amazon Web Services,CodersNotes,CoderNotesBot,30days30sites,3,0,0
"So @elonmusk spent 44b on Twitter.
I spent 44$ on gwei.
We are different.",I AM @Llamaverse_ #584 & #3979! OG @HAPEsocial #7349! @TheLittlesNFT #7524 & #3207 #888InnerCircle⭕️✨,2022-04-27T01:01:34+00:00,1519119529401790464,Malaysia,aux1on.eth,aux1on,Twitter for iPhone,0,0,0
"RT @DrLoupis: Testing the new Twitter:

“Triple vaxxed are the most likely to die from COVID-19” https://t.co/uiI8lmosg7","Somos todos UM.
🇧🇷,
4 conta
Por favor lista de sdv não, quero manter está conta pra saber os acontecimentos.",2022-04-27T01:01:34+00:00,1519119529531645952,,Keyzi Mrc,keyzimrc,Twitter for Android,15630,0,0
RT @lunaseduces: happy tuesday ✧ #nsfwtwtﾟ https://t.co/i29XmnABRi,"Easy going half Black and White, 30’s. Here for the same reasons as most of you",2022-04-27T01:01:34+00:00,1519119529653194752,Turn around,Here4fun12,Here4fun1212,Twitter for iPhone,40,0,0
RT @Grizz_Lead: Finch better get back in his coaches box. Bane was just trying to help him out.,"Body in Austin, heart and soul in Memphis! 
💙🐻🏀🐻🏀🐻💙
@memgrizz #GrindCity

If you ain't right then get right and let your conscience be your guide.",2022-04-27T01:01:34+00:00,1519119529481224192,"Austin, TX",Goooo Grizz!!,dearest_darling,Twitter for Android,1,0,0
@chitaglorya__ @yannipromotes @shiepromotes @SeGives all on notifs. 🥳 https://t.co/aEzkAzGUta,warning : heavy rt + rant.,2022-04-27T01:01:34+00:00,1519119529020108805,deactivated : @zonabigwin,shilla 🍒 24/7tag!,y3o_shinnie,Twitter for Android,0,0,0
The audacity some of these people have on twitter is psycho,,2022-04-27T01:01:34+00:00,1519119529523167233,Anywhere but Texas Dreams ,Gabbys Dougie,GabbysDougie_,Twitter for iPhone,0,0,0
"RT @davhy9999: Blanka + Sukura GIveaway!
Like , Subscribe , Comment , Watch My New Video (MUST WATCH FULL VIDEO)
https://t.co/Ou0xvumudb
Co…",Born in 2000,2022-04-27T01:01:34+00:00,1519119529569587201,,011Dat1808,011datTudat1808,Twitter Web App,31,0,0
good morning 🤩🫶🏻 https://t.co/GcFpBdTJbw,"✧ yes i do the cooking, yes i do the cleaning for baji keisuke (｡•̀ᴗ-)✧",2022-04-27T01:01:34+00:00,1519119528176717824,18+ ||  she / her || filo ,ica,keisukesoba,Twitter for Android,0,0,0
RT @jusnlcole: On or off ✨? https://t.co/ND1QzbpAlj,born to misbehave ♒️,2022-04-27T01:01:34+00:00,1519119529443414016,,pixie ✰,cosmic_coochiie,Twitter for iPhone,555,0,0
"@RBReich @RBReich Odd you post this ""after"" Musk bought Twitter.  Never before. Tells the audience a lot.","I'm a workaholic and revolve around numbers, accounting controller.  Experienced in QuickBooks, Dynamics 365, and NetSuite.
Jogging / running.
Acting on stage.",2022-04-27T01:01:34+00:00,1519119529682558978,,Darren Naath,DarrenNaath,Twitter Web App,0,0,0
RT @Maladroithe: Grimes this is your moment. He’s not over you. Text him and say “banning all the Nazis from Twitter would be so hot” just…,"Scientific Socialist, Sysadmin, Cyclist, Something Else
@communistsusa, @iww

Seriouser account of @redjokerzero",2022-04-27T01:01:34+00:00,1519119529527418881,Heart of The Empire,Tennessee Long ☭ | 天龙 | 亲龙/親龍,realtnlong,Twidere for Android,8883,0,0
"🏠 🇺🇸 Opening @UNICEF 
 🩺 #Medical 🧰 #Programme 
 🔷 Consultant 
 
CONSULTANCY - NUTRITION DATABASES CONSULTANT, DATA AND ANALYTICS (D&amp;amp;A) SECTION, DAPM NYHQ - REMOTE BASED 
 
 🗓 Exp. in 2 days 
 #unjobs #untalent 
https://t.co/ZYERS667DA","🇺🇳 We post job vacancies at the United Nations. 💼 Find your new job, internship, consulting contract, or become a volunteer. Updates: @NathanaelKhodl",2022-04-27T01:01:34+00:00,1519119529367928832,"New York, USA",UN Jobs · United Nations Job Openings,UNTalentJobs,UN Talent,0,0,0
